Event No A,Drone A,Event A,Event No B,Drone B,Event B,Time
5,2,7,10,12,20,5.499996
6,6,10,11,16,32,5.999995
0,5,11,3,3,7,7.779994
14,1,3,18,11,30,9.500028
1,14,27,2,17,34,12.6001
29,1,11,38,11,33,31.78054
22,5,19,23,17,3,32.54055
32,13,27,37,15,32,37.50067
33,8,35,36,18,26,38.7407
51,3,25,54,13,27,54.26105
42,5,31,45,12,8,58.54115
47,9,22,52,18,13,61.94123
68,3,2,71,13,12,78.1389
70,6,38,75,16,32,79.75863
66,5,5,67,4,6,82.49817
83,5,30,84,4,17,99.93524
85,3,33,87,13,6,99.97523
91,18,0,95,7,34,109.7136
107,13,17,103,3,7,122.7914
99,9,14,98,11,9,125.271
104,2,8,106,5,11,129.9709
112,12,36,113,16,30,137.3325
118,8,3,117,9,1,139.2729
109,6,2,111,1,4,141.5734
126,13,18,124,3,20,146.5345
136,8,11,138,18,24,164.1783
146,2,13,150,12,38,172.46
139,9,35,141,15,39,178.8214

