Event No A,Drone A,Event A,Event No B,Drone B,Event B,Time
5,6,12,8,4,8,10.22004
13,12,20,14,11,15,10.66005
28,4,39,33,14,19,30.2205
21,19,13,27,6,27,37.20066
25,0,26,30,3,1,37.26066
35,8,22,36,18,0,38.16068
24,15,32,23,1,35,39.76072
37,11,25,38,13,24,44.88084
45,3,13,51,13,32,53.48103
53,2,30,52,0,33,61.98123
57,5,10,56,11,8,65.16108
44,9,35,55,14,36,72.95977
64,7,35,60,6,29,76.3792
67,12,17,68,13,31,78.63882
72,2,19,71,4,20,82.41818
66,19,2,70,16,9,83.45801
74,0,28,75,17,21,93.95625
76,5,10,78,11,13,96.0359
82,3,23,85,13,18,98.63546
92,19,7,91,9,34,103.9546
80,15,6,81,6,16,106.9541
93,2,9,96,5,20,113.8529
107,14,10,108,13,27,126.2908
103,7,21,105,16,14,127.7106
102,3,4,99,8,0,130.151
113,0,6,114,10,39,132.1114
126,7,25,122,8,21,150.6354
128,14,36,127,13,38,152.6158
137,15,10,138,3,22,175.5607
143,1,26,147,12,13,177.041

